Optimizer,Epoch,Learning Rate,Accuracy
SGD,66,0.0001,0.5389999747276306
SGD,67,0.0001,0.5480999946594238
SGD,68,0.0001,0.5515999794006348
SGD,69,0.0001,0.5562000274658203
SGD,70,0.0001,0.5601999759674072
SGD,71,0.0001,0.564300000667572
SGD,72,0.0001,0.5672000050544739
SGD,73,0.0001,0.5728999972343445
SGD,74,0.0001,0.574999988079071
SGD,75,0.0001,0.5770000219345093
SGD,76,0.0001,0.583299994468689
SGD,77,0.0001,0.5849999785423279
SGD,78,0.0001,0.5889000296592712
SGD,79,0.0001,0.5911999940872192
SGD,80,0.0001,0.5924000144004822
SGD,1,0.0002,0.14560000598430634
SGD,2,0.0002,0.15309999883174896
SGD,3,0.0002,0.18219999969005585
SGD,4,0.0002,0.21310000121593475
SGD,5,0.0002,0.24529999494552612
SGD,6,0.0002,0.27619999647140503
SGD,7,0.0002,0.3000999987125397
SGD,8,0.0002,0.31940001249313354
SGD,9,0.0002,0.3325999975204468
SGD,10,0.0002,0.3456000089645386
SGD,11,0.0002,0.35569998621940613
SGD,12,0.0002,0.36910000443458557
SGD,13,0.0002,0.37439998984336853
SGD,14,0.0002,0.38339999318122864
SGD,15,0.0002,0.3903000056743622
SGD,16,0.0002,0.396699994802475
SGD,17,0.0002,0.4018000066280365
SGD,18,0.0002,0.4059999883174896
SGD,19,0.0002,0.41119998693466187
SGD,20,0.0002,0.41499999165534973
SGD,21,0.0002,0.4189000129699707
SGD,22,0.0002,0.4251999855041504
SGD,23,0.0002,0.43560001254081726
SGD,24,0.0002,0.44679999351501465
SGD,25,0.0002,0.4569999873638153
SGD,26,0.0002,0.46630001068115234
SGD,27,0.0002,0.47589999437332153
SGD,28,0.0002,0.47839999198913574
SGD,29,0.0002,0.48829999566078186
SGD,30,0.0002,0.4934000074863434
SGD,31,0.0002,0.5005999803543091
SGD,32,0.0002,0.5134000182151794
SGD,33,0.0002,0.529699981212616
SGD,34,0.0002,0.5370000004768372
SGD,35,0.0002,0.5496000051498413
SGD,36,0.0002,0.5575000047683716
SGD,37,0.0002,0.5680999755859375
SGD,38,0.0002,0.5737000107765198
SGD,39,0.0002,0.5855000019073486
SGD,40,0.0002,0.5878999829292297
SGD,41,0.0002,0.5898000001907349
SGD,42,0.0002,0.598800003528595
SGD,43,0.0002,0.6067000031471252
SGD,44,0.0002,0.6133999824523926
SGD,45,0.0002,0.6119999885559082
SGD,46,0.0002,0.6215999722480774
SGD,47,0.0002,0.623199999332428
SGD,48,0.0002,0.6348999738693237
SGD,49,0.0002,0.6419000029563904
SGD,50,0.0002,0.6438999772071838
SGD,51,0.0002,0.6470000147819519
SGD,52,0.0002,0.6456000208854675
SGD,53,0.0002,0.6492999792098999
SGD,54,0.0002,0.6506999731063843
SGD,55,0.0002,0.651199996471405
SGD,56,0.0002,0.6556000113487244
SGD,57,0.0002,0.6550999879837036
SGD,58,0.0002,0.6571000218391418
SGD,59,0.0002,0.6578999757766724
SGD,60,0.0002,0.6599000096321106
SGD,61,0.0002,0.6589000225067139
SGD,62,0.0002,0.660099983215332
SGD,63,0.0002,0.6599000096321106
SGD,64,0.0002,0.6628999710083008
SGD,65,0.0002,0.6639999747276306
